Title,Year,Rating,Runtime,Critic.Score,Box.Office,Awards,Distribution
The Whole Nine Yards,2000,R,98,45,57.3,No Awards,Domestic
Cirque du Soleil,2000,G,39,45,13.4,Won Awards,Domestic
Gladiator,2000,R,155,76,187.3,Won Awards,International
Dinosaur,2000,PG,82,65,135.6,Won Awards,Domestic
Big Momma's House,2000,PG-13,99,30,0.5,Won Awards,International
Gone in Sixty Seconds,2000,PG-13,118,24,101,Won Awards,Domestic
Shaft,2000,R,99,68,70.3,Won Awards,International
Chicken Run,2000,G,84,97,106.6,Won Awards,International
"Me, Myself & Irene",2000,R,116,48,0.6,Won Awards,Domestic
The Patriot,2000,R,165,62,2.3,Won Awards,International
The Adventures of Rocky & Bullwinkle,2000,PG,92,43,0.4,Won Awards,International
The Kid,2000,PG,104,49,68.5,Won Awards,Domestic
X-Men,2000,PG-13,104,82,156.2,Won Awards,Domestic
What Lies Beneath,2000,PG-13,130,46,155,Won Awards,Domestic
Thomas and the Magic Railroad,2000,G,85,19,2,No Awards,International
Nutty Professor II: The Klumps,2000,PG-13,106,26,122.4,Won Awards,Domestic
Coyote Ugly,2000,PG-13,100,22,59.8,Won Awards,Domestic
Hollow Man,2000,R,112,27,72.1,Won Awards,International
Space Cowboys,2000,PG-13,130,78,89.4,Won Awards,International
The Replacements,2000,PG-13,118,40,44,No Awards,Domestic
Bless the Child,2000,R,107,3,28.1,Won Awards,International
The Cell,2000,R,107,45,60,Won Awards,International
The Original Kings of Comedy,2000,R,115,86,37.7,Won Awards,Domestic
The Art of War,2000,R,117,16,29.5,Won Awards,International
The Crew,2000,PG-13,88,20,12.5,Won Awards,Domestic
Bring It On,2000,PG-13,98,63,67.9,Won Awards,Domestic
The Tao of Steve,2000,R,87,80,2.6,Won Awards,Domestic
Whipped,2000,R,82,13,3.8,No Awards,Domestic
Turn It Up,2000,R,86,8,0.7,No Awards,Domestic
Backstage,2000,R,86,31,0.7,No Awards,Domestic
The Watcher,2000,R,97,10,28.6,No Awards,Domestic
Nurse Betty,2000,R,110,84,25,Won Awards,International
The Way of the Gun,2000,R,119,48,5.2,No Awards,Domestic
Bait,2000,R,119,26,14.9,No Awards,International
Duets,2000,R,112,20,4.3,No Awards,Domestic
Almost Famous,2000,R,122,88,31.7,Won Awards,Domestic
Urban Legends: Final Cut,2000,R,97,9,21,Won Awards,International
Woman on Top,2000,R,92,34,4.5,No Awards,Domestic
Beautiful,2000,PG-13,112,16,2.8,No Awards,Domestic
Remember the Titans,2000,PG,113,73,114.3,Won Awards,Domestic
Girlfight,2000,R,110,87,0.8,Won Awards,Domestic
Dancer in the Dark,2000,R,140,68,2.8,Won Awards,International
Digimon: The Movie,2000,PG,82,25,9,No Awards,International
Get Carter,2000,R,102,12,14.6,No Awards,Domestic
Meet the Parents,2000,PG-13,108,84,164.5,Won Awards,Domestic
Lost Souls,2000,R,97,7,16.4,No Awards,Domestic
Dr. T and the Women,2000,R,122,57,12.1,No Awards,International
The Contender,2000,R,126,76,16.1,Won Awards,International
The Ladies Man,2000,R,84,11,13.4,No Awards,Domestic
Bamboozled,2000,R,135,48,1.9,Won Awards,Domestic
Bedazzled,2000,PG-13,93,49,37,Won Awards,International
Best in Show,2000,PG-13,90,95,16.6,Won Awards,Domestic
Pay It Forward,2000,PG-13,123,40,32.8,Won Awards,Domestic
The Little Vampire,2000,PG,95,55,13.4,Won Awards,International
Lucky Numbers,2000,R,105,22,9.5,Won Awards,International
Charlie's Angels,2000,PG-13,98,67,124.4,Won Awards,International
The Legend of Bagger Vance,2000,PG-13,126,43,30.4,Won Awards,Domestic
Red Planet,2000,PG-13,106,14,17.1,No Awards,International
Men of Honor,2000,R,129,41,46.2,No Awards,Domestic
Little Nicky,2000,PG-13,90,22,38.5,No Awards,Domestic
How the Grinch Stole Christmas,2000,PG,104,53,259,Won Awards,International
The 6th Day,2000,PG-13,123,41,33.8,No Awards,Domestic
102 Dalmatians,2000,G,100,31,65.4,Won Awards,International
What's Cooking?,2000,PG-13,109,52,0.7,Won Awards,International
Vertical Limit,2000,PG-13,124,48,67.8,Won Awards,International
Dungeons & Dragons,2000,PG-13,107,10,14.8,No Awards,International
Proof of Life,2000,R,135,40,31.2,No Awards,Domestic
The Emperor's New Groove,2000,G,78,85,87.3,Won Awards,Domestic
What Women Want,2000,PG-13,127,54,181.5,Won Awards,Domestic
Requiem for a Dream,2000,R,102,78,2.5,Won Awards,Domestic
"Dude, Where's My Car?",2000,PG-13,83,18,45,No Awards,Domestic
Miss Congeniality,2000,PG-13,109,42,105.5,Won Awards,International
The Family Man,2000,PG-13,125,53,73.7,Won Awards,Domestic
You Can Count on Me,2000,R,111,95,8.4,Won Awards,Domestic
Quills,2000,R,124,75,4.3,Won Awards,International
All the Pretty Horses,2000,PG-13,116,32,14.7,Won Awards,Domestic
Traffic,2000,R,147,92,123.8,Won Awards,International
State and Main,2000,R,105,86,5.8,Won Awards,International
"Crouching Tiger, Hidden Dragon",2000,PG-13,120,97,127.7,Won Awards,International
Finding Forrester,2000,PG-13,136,74,51.4,Won Awards,Domestic
Thirteen Days,2000,PG-13,145,83,33.1,Won Awards,Domestic
The Gift,2000,R,111,57,11.2,No Awards,Domestic
Chocolat,2000,PG-13,121,63,71.3,Won Awards,International
Snatch.,2000,R,102,73,30.1,Won Awards,International
Shadow of the Vampire,2000,R,92,81,7.5,Won Awards,International
"O Brother, Where Art Thou?",2000,PG-13,106,77,45.2,Won Awards,International
Before Night Falls,2000,R,133,73,2.8,Won Awards,Domestic
An Everlasting Piece,2000,R,103,48,0.0091,No Awards,Domestic
Pollock,2000,R,122,81,7.3,Won Awards,Domestic
Memento,2000,R,113,92,23.8,Won Awards,Domestic
The Golden Bowl,2000,R,130,54,2.2,Won Awards,International
Songcatcher,2000,PG-13,109,74,1.6,Won Awards,Domestic
The Endurance,2000,G,97,95,2.1,Won Awards,International
Tadpole,2000,PG-13,78,78,2.9,Won Awards,Domestic
The Debut,2000,R,88,74,1.5,Won Awards,Domestic
Double Take,2001,PG-13,88,12,28.5,No Awards,Domestic
Antitrust,2001,PG-13,109,24,11,Won Awards,Domestic
The Pledge,2001,R,124,78,18.9,Won Awards,Domestic
