Year,G,PG,PG13,R
2000,46.13333333,85.74285714,61.24285714,23.07253404
2001,51.82,66.84117647,54.15153485,24.4844954
2002,48.45,67.625,56.59664861,23.52895921
2003,34.31666667,49.37538519,57.77350423,33.98456154
2004,24.85,54.30492703,51.19265132,24.96030959
2005,50.6,49.02734595,47.63011538,19.35381685
2006,58.00809,44.83265306,49.08365795,22.08949318
2007,54.24285714,58.80187941,51.32581375,18.75331456
2008,70.38,40.82206286,53.61043814,23.47225977
2009,43.06666667,72.80747297,61.81176628,27.10873596
2010,111.601275,60.77127234,55.21176364,18.96454237
2011,71.22,43.1590973,50.36235514,17.84893534
2012,0.371204,60.67287059,54.38245729,22.01051909
2013,268.5,66.33125714,57.18550112,20.48218277
2014,39.783,56.80742353,56.85165,21.57942065
2015,16.3,69.23333333,80.975245,25.98436111
