Year,Rating,Awards,Box.Office
2000,G,No Awards,2
2000,G,Won Awards,54.96
2000,PG,No Awards,9
2000,PG,Won Awards,98.53333333
2000,PG-13,No Awards,28
2000,PG-13,Won Awards,69.55357143
2000,R,No Awards,15.59465294
2000,R,Won Awards,27.31
2001,G,No Awards,39.1
2001,G,Won Awards,70.9
2001,PG,No Awards,18.66
2001,PG,Won Awards,86.91666667
2001,PG-13,No Awards,24.34575143
2001,PG-13,Won Awards,87.80322581
2001,R,No Awards,17.50960263
2001,R,Won Awards,29.89359592
2002,G,No Awards,30.2
2002,G,Won Awards,59.4
2002,PG,No Awards,15.98888889
2002,PG,Won Awards,92.08421053
2002,PG-13,No Awards,26
2002,PG-13,Won Awards,77.23159767
2002,R,No Awards,15.3992
2002,R,Won Awards,29.12946
2003,G,No Awards,14.6
2003,G,Won Awards,44.175
2003,PG,No Awards,20.57195385
2003,PG,Won Awards,76.12142857
2003,PG-13,No Awards,27.26715
2003,PG-13,Won Awards,82.80435897
2003,R,No Awards,17.3295
2003,R,Won Awards,45.81842105
2004,G,No Awards,2.8
2004,G,Won Awards,32.2
2004,PG,No Awards,18.88932105
2004,PG,Won Awards,91.68806667
2004,PG-13,No Awards,22.74467143
2004,PG-13,Won Awards,75.4775122
2004,R,No Awards,11.14397727
2004,R,Won Awards,30.92029608
2005,G,No Awards,17.525
2005,G,Won Awards,83.675
2005,PG,No Awards,21.40798571
2005,PG,Won Awards,65.83913043
2005,PG-13,No Awards,21.79438919
2005,PG-13,Won Awards,65.33237222
2005,R,No Awards,8.375544444
2005,R,Won Awards,24.13467742
2006,G,No Awards,23.49618
2006,G,Won Awards,92.52
2006,PG,No Awards,24.965
2006,PG,Won Awards,58.53448276
2006,PG-13,No Awards,25.0340475
2006,PG-13,Won Awards,69.125
2006,R,No Awards,12.06687097
2006,R,Won Awards,27.54039298
2007,G,No Awards,31.9
2007,G,Won Awards,57.96666667
2007,PG,No Awards,34.77894737
2007,PG,Won Awards,89.23092667
2007,PG-13,No Awards,32.17148611
2007,PG-13,Won Awards,66.99753636
2007,R,No Awards,13.90379444
2007,R,Won Awards,21.35902687
2008,G,No Awards,29.4
2008,G,Won Awards,87.94285714
2008,PG,No Awards,9.305752941
2008,PG,Won Awards,70.58746667
2008,PG-13,No Awards,23.79942308
2008,PG-13,Won Awards,73.65577586
2008,R,No Awards,9.502921875
2008,R,Won Awards,31.59987455
2009,G,No Awards,18.25
2009,G,Won Awards,55.475
2009,PG,No Awards,19.47256923
2009,PG,Won Awards,101.6972125
2009,PG-13,No Awards,20.96118462
2009,PG-13,Won Awards,79.513685
2009,R,No Awards,11.152315
2009,R,Won Awards,40.13438571
2010,G,Won Awards,111.601275
2010,PG,No Awards,18.27674
2010,PG,Won Awards,92.2487037
2010,PG-13,No Awards,24.15018519
2010,PG-13,Won Awards,71.985016
2010,R,No Awards,11.84177843
2010,R,Won Awards,24.38634776
2011,G,No Awards,6.766666667
2011,G,Won Awards,98.84285714
2011,PG,No Awards,19.17529167
2011,PG,Won Awards,54.671324
2011,PG-13,No Awards,17.76797813
2011,PG-13,Won Awards,64.26928933
2011,R,No Awards,9.414985714
2011,R,Won Awards,24.01704776
2012,G,No Awards,0.55645
2012,G,Won Awards,0.000712
2012,PG,No Awards,16.50093
2012,PG,Won Awards,79.07784583
2012,PG-13,No Awards,8.289925
2012,PG-13,Won Awards,87.30569464
2012,R,No Awards,6.358520768
2012,R,Won Awards,34.01753151
2013,G,Won Awards,268.5
2013,PG,No Awards,34.32740909
2013,PG,Won Awards,87.03962941
2013,PG-13,No Awards,13.69087105
2013,PG-13,Won Awards,89.59326471
2013,R,No Awards,6.1317657
2013,R,Won Awards,27.95635833
2014,G,No Awards,9.210666667
2014,G,Won Awards,131.5
2014,PG,No Awards,22.34831538
2014,PG,Won Awards,78.13925238
2014,PG-13,No Awards,22.04669355
2014,PG-13,Won Awards,81.94359535
2014,R,No Awards,12.641446
2014,R,Won Awards,32.21986667
2015,G,No Awards,16.3
2015,PG,No Awards,54
2015,PG,Won Awards,122.55
2015,PG-13,No Awards,88.60582778
2015,PG-13,Won Awards,12.3
2015,R,No Awards,26.82461765
2015,R,Won Awards,11.7
