"Title","Year","Rating","Runtime","Critic.Score","Box.Office","Awards","Distribution"
"Avatar",2009,"PG-13",162,83,760.5,"Won Awards","International"
"The Avengers",2012,"PG-13",143,92,623.3,"Won Awards","Domestic"
"Jurassic World",2015,"PG-13",124,71,556.5,"No Awards","International"
"The Dark Knight",2008,"PG-13",152,94,533.3,"Won Awards","International"
"Avengers: Age of Ultron",2015,"PG-13",141,74,454.2,"No Awards","Domestic"
"The Dark Knight Rises",2012,"PG-13",165,87,448.1,"Won Awards","International"
"Shrek 2",2004,"PG",93,88,436.5,"Won Awards","Domestic"
"The Hunger Games: Catching Fire",2013,"PG-13",146,89,424.6,"Won Awards","Domestic"
"Pirates of the Caribbean: Dead Man's Chest",2006,"PG-13",151,54,423,"Won Awards","Domestic"
"Toy Story 3",2010,"G",103,99,415,"Won Awards","Domestic"
"Iron Man 3",2013,"PG-13",130,79,409,"Won Awards","International"
"The Hunger Games",2012,"PG-13",142,84,408,"Won Awards","Domestic"
"Transformers: Revenge of the Fallen",2009,"PG-13",150,19,402.1,"Won Awards","Domestic"
"Frozen",2013,"PG",102,89,400.7,"Won Awards","Domestic"
"Harry Potter and the Deathly Hallows: Part 2",2011,"PG-13",130,96,381,"Won Awards","International"
"Star Wars: Episode III - Revenge of the Sith",2005,"PG-13",140,80,380.2,"Won Awards","Domestic"
"The Lord of the Rings: The Return of the King",2003,"PG-13",201,95,377,"Won Awards","International"
"Spider-Man 2",2004,"PG-13",127,94,373.4,"Won Awards","Domestic"
"The Passion of the Christ",2004,"R",127,49,370.2,"Won Awards","Domestic"
"Despicable Me 2",2013,"PG",98,74,368,"Won Awards","Domestic"
"Transformers: Dark of the Moon",2011,"PG-13",154,35,352.4,"Won Awards","Domestic"
"American Sniper",2014,"R",132,73,350.1,"Won Awards","Domestic"
"The Lord of the Rings: The Two Towers",2002,"PG-13",179,96,340.5,"Won Awards","International"
"The Hunger Games: Mockingjay - Part 1",2014,"PG-13",123,65,337.1,"Won Awards","Domestic"
"Spider-Man 3",2007,"PG-13",139,63,336.5,"Won Awards","Domestic"
